date,user_id,client_type,subscription_tier,total_messages,credits_used,model_claude_sonnet,model_claude_haiku,model_claude_opus
2026-05-21,usr_001,vscode,enterprise,342,1024,280,62,0
2026-05-21,usr_002,cli,enterprise,198,594,120,78,0
2026-05-21,usr_003,vscode,enterprise,415,1245,390,25,0
2026-05-21,usr_004,jetbrains,enterprise,287,861,210,77,0
2026-05-21,usr_005,web,enterprise,156,468,100,56,0
2026-05-21,usr_006,vscode,enterprise,523,1569,480,43,0
2026-05-21,usr_007,cli,enterprise,89,267,60,29,0
2026-05-21,usr_008,vscode,enterprise,634,1902,580,54,0
2026-05-21,usr_009,jetbrains,enterprise,211,633,160,51,0
2026-05-21,usr_010,vscode,enterprise,378,1134,320,58,0
2026-05-21,usr_011,web,enterprise,143,429,90,53,0
2026-05-21,usr_012,cli,enterprise,265,795,200,65,0
2026-05-21,usr_013,vscode,enterprise,489,1467,440,49,0
2026-05-21,usr_014,jetbrains,enterprise,332,996,270,62,0
2026-05-21,usr_015,vscode,enterprise,401,1203,350,51,0
2026-05-21,usr_016,web,enterprise,178,534,120,58,0
2026-05-21,usr_017,cli,enterprise,234,702,180,54,0
2026-05-21,usr_018,vscode,enterprise,567,1701,510,57,0
2026-05-21,usr_019,jetbrains,enterprise,298,894,240,58,0
2026-05-21,usr_020,vscode,enterprise,445,1335,400,45,0
